 Ancho de Banda   Throughput   Latencia   BER   Flujo de Datos 
615.30035;257.2896;100;9;1
708.72955;45.537888;148;10;0
661.88525;213.20013;233;0;1
190.53638;814.94684;180;10;1
37.850204;512.65735;344;9;0
158.56047;878.7598;296;7;0
399.96954;174.45584;176;8;0
349.60703;301.7899;320;1;1
591.74445;445.59912;67;7;0
260.982;741.08466;297;7;0
608.55725;890.6098;159;7;0
301.9388;765.672;425;1;1
470.22876;584.7116;494;0;1
967.873;411.49213;279;4;1
259.8801;580.46967;222;6;1
454.82736;822.3249;286;10;1
124.82888;319.01532;374;4;1
443.38284;410.45413;388;9;1
847.1083;58.744354;69;9;0
103.88848;300.5205;431;0;0
97.54069;893.4341;181;5;0
193.9884;721.7594;20;5;0
992.444;509.7436;10;5;0
208.25403;772.02014;221;2;0
315.67557;37.154617;469;7;0
123.92993;737.4605;14;0;0
938.60974;618.1958;229;5;1
857.77875;147.1749;272;8;1
529.52466;418.36905;393;9;0
370.56366;265.77216;166;7;1
385.0059;378.3793;157;2;0
827.67615;139.2107;359;6;0
349.97598;859.01666;95;6;0
120.31951;110.43561;180;10;1
505.77533;874.61096;81;7;1
94.18152;945.0874;210;4;0
633.3124;404.15308;23;8;1
764.9649;225.03677;364;1;0
488.2604;635.44214;150;4;0
887.21906;92.70241;349;7;1
877.21436;381.5954;242;7;0
173.8448;1000.09875;362;5;1
404.9858;426.50983;162;8;0
435.841;720.006;384;7;1
990.48663;140.16928;54;5;0
830.44574;822.7894;310;5;0
847.8932;615.1554;440;4;0
504.30856;257.03888;319;3;1
680.8704;886.8902;375;5;1
364.3396;911.98315;268;5;0
810.6284;606.3032;262;7;1
317.7331;946.8581;13;9;0
359.6981;295.3603;77;5;0
651.58484;676.3856;443;5;0
389.3895;491.6274;96;4;0
511.1903;63.48352;286;10;1
785.62836;687.05524;372;7;1
228.17357;772.19385;456;4;1
430.11084;821.5617;140;3;0
138.57188;694.08997;33;5;1
741.2545;752.48285;338;9;0
