 Ancho de Banda      Throughput      Latencia      BER      Flujo de Datos    
847.787 956.89154 206.56184 3.0 0.0
497.2654 662.7164 59.396748 6.0 0.0
946.8664 34.510918 291.1084 1.0 1.0
153.58853 150.9484 469.45453 7.0 1.0
601.1089 80.54494 161.25255 4.0 1.0
29.39133 432.95 450.92645 4.0 1.0
597.55365 501.82227 383.73773 10.0 1.0
457.84412 676.21924 444.8771 10.0 0.0
113.16854 742.3122 0.7171043 1.0 1.0
526.8357 501.3764 280.32196 3.0 1.0
80.57721 630.0731 201.45808 9.0 0.0
852.68677 493.46747 402.25983 3.0 0.0
981.6693 426.18262 403.54086 10.0 0.0
537.5477 454.44504 483.7939 4.0 0.0
